pixel_id,date,qa_mode,method,albedo,glacier_fraction,ndsi,solar_zenith,elevation,slope,aspect,longitude,latitude,tile_h,tile_v,pixel_row,pixel_col,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07
9073025950,2014-06-01,renoriginal,MOD09GA,0.3343721352,0.9692,0.7767702936,30.24,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.3995,0.3269,0.4097,0.4115,0.0993,0.0517,0.0414
9075025945,2014-06-01,renoriginal,MOD09GA,0.3037718565,0.6586666667,0.7786654135,30.23,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.3628,0.2935,0.3896,0.3785,0.0953,0.0471,0.0366
9073025950,2014-06-06,renoriginal,MOD09GA,0.5148252714,0.9692,0.6336996337,34.85,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.6807,0.638,0.6218,0.669,0.381,0.15,0.0878
9075025945,2014-06-06,renoriginal,MOD09GA,0.5123103619,0.6586666667,0.7120971239,29.49,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.5916,0.5573,0.592,0.5923,0.292,0.0996,0.0427
9073025950,2014-06-09,renoriginal,MOD09GA,0.5175755651,0.9692,0.5509574605,31.9,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.5999,0.5618,0.5812,0.6034,0.3946,0.1747,0.1013
9075025945,2014-06-09,renoriginal,MOD09GA,0.6743305119,0.6586666667,0.6626304802,31.9,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.8026,0.7395,0.7531,0.7964,0.4347,0.1616,0.0868
9075025945,2014-06-18,renoriginal,MOD09GA,0.4891083326,0.6586666667,0.9201543485,32.13,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.6379,0.5207,0.612,0.6469,0.1141,0.0269,0.0247
9075025945,2014-06-19,renoriginal,MOD09GA,0.3701274835,0.6586666667,0.8910521141,29.42,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.4758,0.3707,0.469,0.4808,0.0799,0.0277,0.0155
9075025945,2014-06-20,renoriginal,MOD09GA,0.4223780509,0.6586666667,0.7833306465,33.27,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.5437,0.4385,0.5255,0.5531,0.2075,0.0672,0.0465
9073025950,2014-06-22,renoriginal,MOD09GA,0.2717917284,0.9692,0.7292689228,28.77,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.3325,0.273,0.3226,0.3347,0.0911,0.0524,0.0406
9075025945,2014-06-22,renoriginal,MOD09GA,0.3004234015,0.6586666667,0.8394303953,28.77,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.3682,0.2979,0.3761,0.3746,0.1146,0.0327,0.0243
9073025950,2014-06-23,renoriginal,MOD09GA,0.3392606152,0.9692,0.8777546778,30.81,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.4324,0.3235,0.4378,0.4516,0.0671,0.0294,0.0219
9073025950,2014-07-01,renoriginal,MOD09GA,0.1956584625,0.9692,0.5334242838,29.2,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.2296,0.1925,0.2211,0.2248,0.0847,0.0684,0.0577
9075025945,2014-07-01,renoriginal,MOD09GA,0.1766708755,0.6586666667,0.6562620424,29.19,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.2144,0.1738,0.2168,0.2149,0.07,0.0446,0.0337
9073025950,2014-07-07,renoriginal,MOD09GA,0.2432099077,0.9692,0.7353023126,31.09,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.2913,0.2176,0.3018,0.3114,0.0648,0.0475,0.0342
9075025945,2014-07-07,renoriginal,MOD09GA,0.2768518027,0.6586666667,0.8577912254,31.08,2270,7.624438,45.64385,-117.2640876,52.18581739,-11726,5219,9075,25945,0.3498,0.2619,0.3605,0.3684,0.0563,0.0282,0.0174
9073025950,2014-07-08,renoriginal,MOD09GA,0.1892047772,0.9692,0.520327159,35.82,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.3191,0.2702,0.284,0.316,0.1273,0.0997,0.0726
9073025950,2014-07-09,renoriginal,MOD09GA,0.2009364041,0.9692,0.4308416716,32.11,2167,13.859669,336.12576,-117.2511322,52.19481059,-11725,5219,9073,25950,0.2395,0.1911,0.2313,0.2431,0.0986,0.0967,0.0849
