system:index,MOD09GA_NDSI,MOD10A1_NDSI,albedo,albedo_value,aspect,date,elevation,latitude,longitude,method,pixel_col,pixel_id,pixel_row,slope,solar_zenith,tile_h,tile_v,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b07
1_1_2_1_2014_06_01_0,0.7767702936096718,,0.33437213523691234,0.33437213523691234,336.12576,2014-06-01,2167,52.19481059482419,-117.2511321858087,MOD09GA,24046,8407024046,8407,13.859669,30.240000000000002,-11725,5219,0.3995,0.3269,0.4097,0.41150000000000003,0.0993,0.0414
1_1_2_1_2014_06_01_1,0.7786654135338347,,0.30377185653078137,0.30377185653078137,45.64385,2014-06-01,2270,52.1858173889016,-117.26408763305008,MOD09GA,24041,8409024041,8409,7.624438,30.23,-11726,5219,0.3628,0.29350000000000004,0.3896,0.3785,0.09530000000000001,0.0366
1_1_2_1_2014_06_06_0,0.6336996336996337,,0.5148252714346979,0.5148252714346979,336.12576,2014-06-06,2167,52.19481059482419,-117.2511321858087,MOD09GA,24046,8407024046,8407,13.859669,34.85,-11725,5219,0.6807000000000001,0.638,0.6218,0.669,0.381,0.0878
1_1_2_1_2014_06_06_1,0.7120971238618297,,0.5123103619149358,0.5123103619149358,45.64385,2014-06-06,2270,52.1858173889016,-117.26408763305008,MOD09GA,24041,8409024041,8409,7.624438,29.490000000000002,-11726,5219,0.5916,0.5573,0.5920000000000001,0.5923,0.29200000000000004,0.0427
1_1_2_1_2014_06_09_0,0.5509574604806581,,0.517575565129703,0.517575565129703,336.12576,2014-06-09,2167,52.19481059482419,-117.2511321858087,MOD09GA,24046,8407024046,8407,13.859669,31.900000000000002,-11725,5219,0.5999,0.5618000000000001,0.5812,0.6034,0.3946,0.1013
1_1_2_1_2014_06_09_1,0.6626304801670146,,0.6743305119295344,0.6743305119295344,45.64385,2014-06-09,2270,52.1858173889016,-117.26408763305008,MOD09GA,24041,8409024041,8409,7.624438,31.900000000000002,-11726,5219,0.8026000000000001,0.7395,0.7531,0.7964,0.43470000000000003,0.0868
1_1_2_1_2014_06_18_0,0.9201543484713564,,0.4891083325765498,0.4891083325765498,45.64385,2014-06-18,2270,52.1858173889016,-117.26408763305008,MOD09GA,24041,8409024041,8409,7.624438,32.13,-11726,5219,0.6379,0.5207,0.612,0.6469,0.11410000000000001,0.0247
1_1_2_1_2014_06_19_0,0.8910521140609637,,0.3701274835321316,0.3701274835321316,45.64385,2014-06-19,2270,52.1858173889016,-117.26408763305008,MOD09GA,24041,8409024041,8409,7.624438,29.42,-11726,5219,0.4758,0.37070000000000003,0.46900000000000003,0.4808,0.0799,0.0155
1_1_2_1_2014_06_20_0,0.7833306464613895,,0.4223780509218013,0.4223780509218013,45.64385,2014-06-20,2270,52.1858173889016,-117.26408763305008,MOD09GA,24041,8409024041,8409,7.624438,33.27,-11726,5219,0.5437000000000001,0.4385,0.5255000000000001,0.5531,0.20750000000000002,0.0465
1_1_2_2_2014_06_21_0,0.8051262721447418,,0.36659054376315886,0.36659054376315886,336.12576,2014-06-21,2167,52.19481059482419,-117.2511321858087,MOD09GA,24046,8407024046,8407,13.859669,31.080000000000002,-11725,5219,0.46230000000000004,0.35750000000000004,0.4642,0.47890000000000005,0.0834,0.0403
1_1_2_1_2014_06_22_0,0.729268922758977,,0.27179172844400445,0.27179172844400445,336.12576,2014-06-22,2167,52.19481059482419,-117.2511321858087,MOD09GA,24046,8407024046,8407,13.859669,28.77,-11725,5219,0.3325,0.273,0.3226,0.3347,0.0911,0.040600000000000004
1_1_2_1_2014_06_22_1,0.8394303952860299,,0.3004234015279173,0.3004234015279173,45.64385,2014-06-22,2270,52.1858173889016,-117.26408763305008,MOD09GA,24041,8409024041,8409,7.624438,28.77,-11726,5219,0.3682,0.2979,0.37610000000000005,0.37460000000000004,0.11460000000000001,0.024300000000000002
1_1_2_2_2014_06_22_0,0.8109105028149874,,0.3692796559641288,0.3692796559641288,336.12576,2014-06-22,2167,52.19481059482419,-117.2511321858087,MOD09GA,24046,8407024046,8407,13.859669,28.8,-11725,5219,0.4701,0.3826,0.4439,0.46640000000000004,0.0906,0.0403
1_1_2_1_2014_06_23_0,0.8777546777546779,,0.339260615189858,0.339260615189858,336.12576,2014-06-23,2167,52.19481059482419,-117.2511321858087,MOD09GA,24046,8407024046,8407,13.859669,30.810000000000002,-11725,5219,0.4324,0.3235,0.4378,0.4516,0.0671,0.0219
1_1_2_2_2014_06_26_0,0.44497194648252053,,0.2775527155186101,0.2775527155186101,336.12576,2014-06-26,2167,52.19481059482419,-117.2511321858087,MOD09GA,24046,8407024046,8407,13.859669,32.56,-11725,5219,0.3593,0.27940000000000004,0.3326,0.33480000000000004,0.1437,0.1072
1_1_2_2_2014_06_28_0,0.7478532396565183,,0.3406098111011772,0.3406098111011772,336.12576,2014-06-28,2167,52.19481059482419,-117.2511321858087,MOD09GA,24046,8407024046,8407,13.859669,31.6,-11725,5219,0.4287,0.3306,0.4333,0.44780000000000003,0.0882,0.054900000000000004
1_1_2_1_2014_07_01_0,0.5334242837653478,,0.19565846254480362,0.19565846254480362,336.12576,2014-07-01,2167,52.19481059482419,-117.2511321858087,MOD09GA,24046,8407024046,8407,13.859669,29.2,-11725,5219,0.2296,0.1925,0.22110000000000002,0.2248,0.0847,0.0577
1_1_2_1_2014_07_01_1,0.65626204238921,,0.1766708754849535,0.1766708754849535,45.64385,2014-07-01,2270,52.1858173889016,-117.26408763305008,MOD09GA,24041,8409024041,8409,7.624438,29.19,-11726,5219,0.2144,0.1738,0.21680000000000002,0.2149,0.07,0.0337
